age,fare,embarked,sex,pclass
32.5,211.5,C,male,1
,19.9667,S,male,3
33.0,7.8958,S,male,3
30.5,7.75,Q,female,3
24.0,69.3,C,female,1
31.0,10.5,S,male,2
16.0,9.2167,S,male,3
23.0,93.5,S,male,1
24.0,7.1417,S,male,3
40.0,27.7208,C,male,1
43.0,211.3375,S,female,1
26.0,16.1,S,female,3
34.0,26.0,S,male,2
28.0,26.55,S,male,1
25.0,55.4417,C,male,1
31.0,21.0,S,female,2
16.0,18.0,S,male,3
60.5,,S,male,3
62.0,26.55,S,male,1
34.0,6.4958,S,male,3
25.0,7.25,S,male,3
13.0,262.375,C,male,1
60.0,263.0,S,female,1
42.0,13.0,S,male,2
42.0,32.5,S,male,2
40.0,7.8958,S,male,3
39.0,13.0,S,male,2
29.0,7.75,Q,male,3
25.0,26.0,S,male,2
,7.75,Q,male,3
27.0,8.6625,S,male,3
56.0,30.6958,C,male,1
,15.2458,C,male,3
21.0,26.55,S,female,1
,51.8625,S,male,1
,7.75,Q,female,3
48.0,34.375,S,female,3
23.0,10.5,S,male,2
,82.1708,C,female,1
,8.4583,Q,male,3
36.0,39.0,S,female,2
39.0,29.7,C,male,1
34.0,26.55,S,male,1
40.0,134.5,C,female,1
,8.7125,S,male,3
,7.7333,Q,female,3
24.0,60.0,S,male,1
,15.5,Q,female,3
3.0,41.5792,C,female,2
38.0,227.525,C,female,1
14.0,46.9,S,male,3
16.0,34.375,S,male,3
21.0,7.25,S,male,3
40.0,31.0,C,male,1
31.0,28.5375,C,male,1
,15.1,S,male,3
57.0,13.0,S,male,2
40.0,46.9,S,male,3
46.0,26.0,S,male,2
23.0,13.0,S,male,2
28.5,27.7208,C,male,1
21.0,7.75,Q,female,3
48.0,7.8542,S,male,3
32.5,13.0,S,female,2
27.0,7.8542,S,male,3
3.0,18.75,S,male,2
18.0,6.75,Q,female,3
14.0,11.2417,C,female,3
,7.8958,C,male,3
54.0,77.2875,S,male,1
45.0,35.5,S,male,1
,14.5,S,female,3
21.0,11.5,S,male,2
50.0,28.7125,C,female,1
19.0,7.8792,Q,female,3
58.0,153.4625,S,female,1
20.0,7.925,S,male,3
2.0,23.0,S,male,2
40.0,31.3875,S,male,3
3.0,31.3875,S,male,3
22.0,7.225,C,male,3
16.0,26.0,S,male,2
38.0,7.775,S,female,3
22.0,9.8375,S,female,3
,7.225,C,male,3
,89.1042,C,female,1
,26.0,S,male,1
18.0,13.0,S,male,2
30.0,7.6292,Q,female,3
18.0,14.4542,C,female,3
60.0,76.2917,C,female,1
7.0,15.2458,C,male,3
23.0,11.5,S,male,2
18.0,10.5,S,male,2
36.0,75.2417,C,male,1
22.0,7.75,S,female,3
18.5,13.0,S,male,2
21.0,13.0,S,male,2
18.0,7.775,S,female,3
30.0,45.5,S,male,1
29.0,26.0,S,male,2
,25.4667,S,female,3
,7.8792,Q,male,3
25.0,13.0,S,male,2
22.0,13.9,S,female,3
21.0,8.6625,S,male,3
12.0,39.0,S,female,2
,8.05,S,male,3
22.0,10.5,S,female,2
38.0,7.2292,C,female,3
9.0,20.525,S,male,3
4.0,27.9,S,male,3
21.0,10.5,S,female,2
,8.05,S,male,3
,7.8958,S,male,3
28.0,8.05,S,male,3
35.0,26.2875,S,male,1
31.0,7.7333,Q,male,3
18.0,262.375,C,female,1
55.0,135.6333,C,female,1
28.0,7.8958,S,male,3
,30.0,S,male,1
26.0,7.925,S,female,3
7.0,26.25,S,female,2
31.0,7.75,Q,male,3
46.0,79.2,C,male,1
25.0,9.5,S,male,3
29.0,10.5,S,male,2
,15.5,Q,female,3
14.5,14.4542,C,female,3
34.0,13.0,S,male,2
28.0,7.8958,S,male,3
20.0,26.0,S,female,2
32.0,15.5,Q,female,3
17.0,8.6625,S,male,3
35.0,7.8958,C,male,3
25.0,7.8958,S,male,3
28.0,33.0,S,male,2
16.0,8.05,S,male,3
19.0,26.2833,S,female,1
29.0,7.775,S,male,3
21.0,7.8,S,male,3
36.0,27.75,S,male,2
2.0,31.275,S,female,3
17.0,8.05,S,male,3
50.0,13.0,S,male,2
18.0,108.9,C,male,1
,7.7375,Q,male,3
27.0,7.7958,S,male,3
,8.6625,S,male,3
11.5,14.5,S,male,3
18.0,53.1,S,female,1
43.0,8.05,S,male,3
30.0,27.75,C,male,1
30.0,86.5,S,female,1
38.0,13.0,S,female,2
51.0,39.4,S,female,1
6.0,12.475,S,male,3
28.0,13.0,S,female,2
39.0,31.275,S,male,3
,7.3125,S,male,3
,14.5,S,male,3
33.0,90.0,Q,female,1
17.0,7.2292,C,male,3
32.0,56.4958,S,male,3
,110.8833,C,female,1
,69.55,S,female,3
0.6667,14.5,S,male,2
30.0,12.35,Q,female,2
9.0,27.9,S,female,3
62.0,10.5,S,male,2
2.0,10.4625,S,female,3
62.0,9.6875,Q,male,2
42.0,227.525,C,female,1
32.0,13.0,S,female,2
,7.75,Q,male,3
,56.4958,S,male,3
34.5,6.4375,C,male,3
22.0,9.35,S,male,3
26.0,13.0,S,male,2
,15.5,Q,male,3
21.0,7.65,S,female,3
,7.8958,S,male,3
17.0,7.8958,S,male,3
17.0,73.5,S,male,2
,26.55,S,male,1
,7.8292,Q,male,3
24.0,26.0,S,female,2
19.0,30.0,S,female,1
36.0,120.0,S,male,1
30.0,8.6625,S,female,3
31.0,57.0,S,male,1
36.0,7.8958,S,male,3
31.0,113.275,C,female,1
11.0,120.0,S,male,1
31.0,37.0042,C,male,2
47.0,15.0,S,male,2
,8.7125,C,male,3
2.0,39.6875,S,male,3
24.0,16.1,S,male,3
54.0,59.4,C,female,1
32.0,13.0,S,male,2
54.0,14.0,S,male,2
40.5,14.5,S,male,3
16.0,86.5,S,female,1
24.0,10.5,S,male,2
21.0,7.775,S,male,3
,7.75,Q,male,3
54.0,78.2667,C,female,1
58.0,29.7,C,male,1
39.0,26.0,S,male,2
13.0,20.25,S,male,3
16.0,7.75,Q,female,3
25.0,151.55,S,female,1
,7.55,S,male,3
61.0,12.35,Q,male,2
22.0,29.0,S,female,2
,51.8625,S,female,1
